.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.480168609943395e-06,0.004229764669777007,-0.006485955919672198,218.9185690149522,3.757695179328807e-12,266120574521.5923,-0.0001464497572085013,42.22148998976159,-42.22148998976159
1.480177978288892e-06,0.004093643385281987,-0.006712721240543074,218.8883082014647,3.755876133479328e-12,266249462032.6126,-0.0002418884014135357,42.08881237705957,-42.08881237705957
1.48018734675298e-06,0.003946057739673461,-0.006934062220270897,218.8580656403376,3.75319927493455e-12,266439356598.6283,-0.000329572602242919,41.96183916554413,-41.96183916554413
1.480196715335659e-06,0.003787343245066474,-0.007149386963184535,218.8278479483402,3.749743072616706e-12,266684938310.2304,-0.0004082551147519795,41.84039240037583,-41.84039240037583
1.480206084036933e-06,0.003617867277139593,-0.007358134523106022,218.7976610631449,3.74559675429466e-12,266980154458.2745,-0.0004768870550950712,41.72429735864104,-41.72429735864104
1.480215452856804e-06,0.003438024986006453,-0.007559776601369753,218.7675101641518,3.740858395115696e-12,267318324934.6364,-0.0005346293434205158,41.61338274938771,-41.61338274938771
1.480224821795273e-06,0.00324823517061296,-0.00775381858813054,218.7373996091416,3.73563292155316e-12,267692254833.2803,-0.0005808592914690796,41.50748104934265,-41.50748104934265
1.480234190852343e-06,0.003048936229285999,-0.007939799969045971,218.7073328872548,3.730030076526305e-12,268094352990.118,-0.0006151722765521146,41.40642894568075,-41.40642894568075
1.480243560028017e-06,0.002840582290007785,-0.008117294138745797,218.6773125884244,3.724162390868231e-12,268516754922.4043,-0.0006373786850072689,41.31006785853553,-41.31006785853553
1.480252929322296e-06,0.002623639611711346,-0.008285907679077192,218.6473403890327,3.718143200209653e-12,268951448654.1599,-0.0006474972467456961,41.2182445176087,-41.2182445176087
